Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2023
Nomemapa=c:\tabwin\br_municip.map
"Município";"01 Ações de promoção e prevenção em saúde";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
"421640 SAO JOAO DO SUL";0;0;0;0;0;0;0;0;0
"421650 SAO JOAQUIM";0;114;1989;328;0;0;15;567;3013
"421660 SAO JOSE";0;52686;16717;2687;13;598;1574;11433;85708
"421670 SAO JOSE DO CEDRO";0;133;70;82;0;0;14;117;416
"421680 SAO JOSE DO CERRITO";0;0;0;0;0;0;0;0;0
"421690 SAO LOURENCO DO OESTE";0;2059;800;42;0;2;1;342;3246
"421700 SAO LUDGERO";0;0;0;0;0;0;0;0;0
"421710 SAO MARTINHO";0;110;65;0;0;0;0;181;356
"421715 SAO MIGUEL DA BOA VISTA";0;0;0;0;0;0;0;0;0
"421720 SAO MIGUEL DO OESTE";0;12189;6349;540;0;4;157;2174;21413
"421725 SAO PEDRO DE ALCANTARA";0;1;3678;125;0;0;0;1399;5203
"421730 SAUDADES";0;43;12;60;0;0;10;32;157
"421740 SCHROEDER";0;0;0;0;0;0;0;0;0
"421750 SEARA";0;324;580;27;0;2;0;129;1062
"421755 SERRA ALTA";0;0;0;0;0;0;0;0;0
"421760 SIDEROPOLIS";0;0;0;0;0;0;0;0;0
"421770 SOMBRIO";0;4033;709;440;0;0;73;603;5858
"421775 SUL BRASIL";0;0;0;0;0;0;0;0;0
"421780 TAIO";0;762;91;55;0;4;6;144;1062
"421790 TANGARA";0;0;0;0;0;0;0;0;0
"421795 TIGRINHOS";0;0;0;0;0;0;0;0;0
"421800 TIJUCAS";0;670;305;166;0;0;16;0;1157
"421810 TIMBE DO SUL";0;165;50;186;0;0;11;67;479
"421820 TIMBO";0;10187;13528;416;0;2;124;1972;26229
"421825 TIMBO GRANDE";0;0;0;0;0;0;0;0;0
