Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2023
Nomemapa=c:\tabwin\br_municip.map
"Município";"01 Ações de promoção e prevenção em saúde";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
"240570 JARDIM DO SERIDO";0;0;19;0;0;0;0;8;27
"240580 JOAO CAMARA";0;330;101;60;0;87;0;288;866
"240590 JOAO DIAS";0;0;0;0;0;0;0;0;0
"240600 JOSE DA PENHA";0;0;5;0;0;0;0;0;5
"240610 JUCURUTU";0;187;60;28;0;0;0;134;409
"240615 JUNDIA";0;0;0;0;0;0;0;0;0
"240620 LAGOA D'ANTA";0;0;0;0;0;0;0;0;0
"240630 LAGOA DE PEDRAS";0;0;0;0;0;0;0;0;0
"240640 LAGOA DE VELHOS";0;0;0;0;0;0;0;0;0
"240650 LAGOA NOVA";0;35;8;0;0;0;0;0;43
"240660 LAGOA SALGADA";0;0;0;0;0;0;0;0;0
"240670 LAJES";0;1;20;15;0;0;0;29;65
"240680 LAJES PINTADAS";0;0;0;0;0;0;0;0;0
"240690 LUCRECIA";0;0;26;0;0;0;0;0;26
"240700 LUIS GOMES";0;0;0;0;0;0;0;0;0
"240710 MACAIBA";0;188;435;278;0;0;0;1158;2059
"240720 MACAU";0;692;380;10;0;0;0;19;1101
"240725 MAJOR SALES";0;0;8;0;0;0;0;0;8
"240730 MARCELINO VIEIRA";0;0;0;0;0;0;0;0;0
"240740 MARTINS";0;0;24;0;0;0;0;55;79
"240750 MAXARANGUAPE";0;0;0;0;0;0;0;0;0
"240760 MESSIAS TARGINO";0;0;3;0;0;0;0;0;3
"240770 MONTANHAS";0;0;0;0;0;0;0;0;0
"240780 MONTE ALEGRE";0;616;42;0;0;0;0;64;722
"240790 MONTE DAS GAMELEIRAS";0;0;0;0;0;0;0;0;0
"240800 MOSSORO";0;41379;27092;1888;0;52;752;10121;81284
"240810 NATAL";0;62322;68360;14366;744;2557;2292;39428;190069
"240820 NISIA FLORESTA";0;0;0;0;0;0;0;0;0
"240830 NOVA CRUZ";0;122;23;0;0;0;0;156;301
"240840 OLHO-D'AGUA DO BORGES";0;0;0;0;0;0;0;0;0
"240850 OURO BRANCO";0;0;0;0;0;0;0;0;0
"240860 PARANA";0;0;0;0;0;0;0;0;0
"240870 PARAU";0;0;0;0;0;0;0;0;0
"240880 PARAZINHO";0;0;0;0;0;0;0;0;0
"240890 PARELHAS";0;803;17;0;0;0;0;49;869
"240895 RIO DO FOGO";0;0;0;0;0;0;0;0;0
"240910 PASSA E FICA";0;63;17;0;0;0;0;0;80
"240920 PASSAGEM";0;0;0;0;0;0;0;0;0
"240930 PATU";0;0;14;0;0;0;0;0;14
"240933 SANTA MARIA";0;0;0;0;0;0;0;0;0
"240940 PAU DOS FERROS";0;6861;3382;317;0;0;0;431;10991
"240950 PEDRA GRANDE";0;0;0;0;0;0;0;0;0
"240960 PEDRA PRETA";0;0;0;0;0;0;0;0;0
"240970 PEDRO AVELINO";0;0;0;0;0;0;0;0;0
"240980 PEDRO VELHO";0;0;7;0;0;0;0;0;7
"240990 PENDENCIAS";0;17;23;0;0;0;0;15;55
"241000 PILOES";0;0;0;0;0;0;0;0;0
"241010 POCO BRANCO";0;0;0;0;0;0;0;0;0
"241020 PORTALEGRE";0;0;0;0;0;0;0;0;0
"241025 PORTO DO MANGUE";0;0;0;0;0;0;0;0;0
"241030 SERRA CAIADA";0;0;47;0;0;0;0;0;47
"241040 PUREZA";0;0;0;0;0;0;0;0;0
"241050 RAFAEL FERNANDES";0;0;0;0;0;0;0;0;0
"241060 RAFAEL GODEIRO";0;7;28;1;0;0;0;4;40
"241070 RIACHO DA CRUZ";0;0;6;0;0;0;0;2;8
"241080 RIACHO DE SANTANA";0;0;0;0;0;0;0;0;0
"241090 RIACHUELO";0;0;0;0;0;0;0;0;0
"241100 RODOLFO FERNANDES";0;0;0;0;0;0;0;0;0
"241105 TIBAU";0;0;0;0;0;0;0;0;0
"241110 RUY BARBOSA";0;0;0;0;0;0;0;0;0
"241120 SANTA CRUZ";9;4442;3748;368;0;21;4;1992;10584
"241140 SANTANA DO MATOS";0;56;24;0;0;0;0;54;134
"241142 SANTANA DO SERIDO";0;0;2;0;0;0;0;2;4
"241150 SANTO ANTONIO";0;1772;3749;323;0;4;1;976;6825
"241160 SAO BENTO DO NORTE";0;0;0;0;0;0;0;0;0
"241170 SAO BENTO DO TRAIRI";0;0;0;0;0;0;0;0;0
"241180 SAO FERNANDO";0;0;0;0;0;0;0;0;0
"241190 SAO FRANCISCO DO OESTE";0;0;0;0;0;0;0;0;0
"241200 SAO GONCALO DO AMARANTE";0;1133;1126;130;0;0;0;1149;3538
"241210 SAO JOAO DO SABUGI";0;0;0;0;0;0;0;0;0
"241220 SAO JOSE DE MIPIBU";0;1314;877;211;0;0;0;1013;3415
"241230 SAO JOSE DO CAMPESTRE";0;0;23;0;0;0;0;15;38
"241240 SAO JOSE DO SERIDO";0;0;1;0;0;0;0;2;3
"241250 SAO MIGUEL";0;0;0;0;0;0;0;0;0
"241255 SAO MIGUEL DO GOSTOSO";0;0;0;0;0;0;0;0;0
"241260 SAO PAULO DO POTENGI";0;0;731;65;0;4;0;395;1195
"241270 SAO PEDRO";0;0;0;0;0;0;0;0;0
"241280 SAO RAFAEL";0;7;26;0;0;0;0;25;58
"241290 SAO TOME";0;0;0;0;0;0;0;0;0
"241300 SAO VICENTE";0;0;3;0;0;0;0;5;8
"241310 SENADOR ELOI DE SOUZA";0;0;0;0;0;0;0;0;0
"241320 SENADOR GEORGINO AVELINO";0;0;0;0;0;0;0;0;0
"241330 SERRA DE SAO BENTO";0;0;6;0;0;0;0;0;6
"241335 SERRA DO MEL";0;0;39;0;0;0;0;0;39
"241340 SERRA NEGRA DO NORTE";0;0;0;0;0;0;0;0;0
"241350 SERRINHA";0;0;0;0;0;0;0;0;0
"241355 SERRINHA DOS PINTOS";0;0;14;0;0;0;0;15;29
"241360 SEVERIANO MELO";0;0;3;0;0;0;0;0;3
"241370 SITIO NOVO";0;0;0;0;0;0;0;0;0
"241380 TABOLEIRO GRANDE";0;0;2;0;0;0;0;0;2
"241390 TAIPU";0;0;0;0;0;0;0;0;0
"241400 TANGARA";0;0;0;0;0;0;0;0;0
"241410 TENENTE ANANIAS";0;19;31;150;0;0;0;91;291
"241415 TENENTE LAURENTINO CRUZ";0;0;0;0;0;0;0;0;0
"241420 TIBAU DO SUL";0;0;9;0;0;0;0;0;9
"241430 TIMBAUBA DOS BATISTAS";0;0;0;0;0;0;0;0;0
"241440 TOUROS";0;0;28;0;0;0;0;126;154
"241445 TRIUNFO POTIGUAR";0;0;0;0;0;0;0;0;0
"241450 UMARIZAL";0;0;0;0;0;0;0;0;0
"241460 UPANEMA";0;0;7;0;0;0;0;0;7
"241470 VARZEA";0;0;0;0;0;0;0;0;0
"241475 VENHA-VER";0;0;2;0;0;0;0;4;6
"241480 VERA CRUZ";0;0;0;0;0;0;0;0;0
"241490 VICOSA";0;0;0;0;0;0;0;0;0
"241500 VILA FLOR";0;0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - PB";0;0;0;0;0;0;0;0;0
"250010 AGUA BRANCA";0;1;29;0;0;0;0;29;59
"250020 AGUIAR";0;0;0;0;0;0;0;0;0
"250030 ALAGOA GRANDE";0;0;23;13;0;0;0;0;36
"250040 ALAGOA NOVA";0;0;29;0;0;0;0;0;29
"250050 ALAGOINHA";0;0;0;0;0;0;0;0;0
"250053 ALCANTIL";0;0;0;0;0;0;0;0;0
"250057 ALGODAO DE JANDAIRA";0;0;0;0;0;0;0;0;0
"250060 ALHANDRA";0;0;0;0;0;0;0;0;0
"250070 SAO JOAO DO RIO DO PEIXE";0;0;21;0;0;0;0;0;21
"250073 AMPARO";0;0;0;0;0;0;0;0;0
"250077 APARECIDA";0;0;0;0;0;0;0;0;0
"250080 ARACAGI";0;0;0;0;0;0;0;0;0
"250090 ARARA";0;0;0;0;0;0;0;0;0
"250100 ARARUNA";0;0;0;0;0;0;0;0;0
"250110 AREIA";0;188;16;0;0;0;0;0;204
"250115 AREIA DE BARAUNAS";0;0;0;0;0;0;0;0;0
"250120 AREIAL";0;0;0;0;0;0;0;0;0
"250130 AROEIRAS";0;0;49;0;0;0;0;0;49
"250135 ASSUNCAO";0;0;0;0;0;0;0;0;0
"250140 BAIA DA TRAICAO";0;0;0;0;0;0;0;0;0
"250150 BANANEIRAS";0;0;11;0;0;0;0;0;11
"250153 BARAUNA";0;0;0;0;0;0;0;0;0
"250157 BARRA DE SANTANA";0;0;0;0;0;0;0;0;0
"250160 BARRA DE SANTA ROSA";0;0;0;0;0;0;0;0;0
"250170 BARRA DE SAO MIGUEL";0;0;0;0;0;0;0;0;0
"250180 BAYEUX";0;528;17;75;0;0;4;42;666
"250190 BELEM";0;24;13;0;0;0;0;11;48
"250200 BELEM DO BREJO DO CRUZ";0;0;16;0;0;0;0;10;26
"250205 BERNARDINO BATISTA";0;0;0;0;0;0;0;0;0
"250210 BOA VENTURA";0;0;0;0;0;0;0;0;0
"250215 BOA VISTA";0;0;0;0;0;0;0;0;0
"250220 BOM JESUS";0;0;0;0;0;0;0;0;0
"250230 BOM SUCESSO";0;0;0;0;0;0;0;0;0
"250240 BONITO DE SANTA FE";0;0;65;0;0;0;0;28;93
"250250 BOQUEIRAO";0;135;55;7;0;0;0;33;230
"250260 IGARACY";0;0;0;0;0;0;0;0;0
"250270 BORBOREMA";0;0;0;0;0;0;0;0;0
"250280 BREJO DO CRUZ";0;0;97;0;0;0;0;1;98
"250290 BREJO DOS SANTOS";0;0;0;0;0;0;0;0;0
"250300 CAAPORA";0;29;27;0;0;0;0;10;66
"250310 CABACEIRAS";0;0;0;0;0;0;0;0;0
"250320 CABEDELO";0;4272;884;138;0;1;0;413;5708
"250330 CACHOEIRA DOS INDIOS";0;0;0;0;0;0;0;0;0
"250340 CACIMBA DE AREIA";0;0;0;0;0;0;0;0;0
"250350 CACIMBA DE DENTRO";0;1;2;0;0;0;0;0;3
"250355 CACIMBAS";0;0;0;0;0;0;0;0;0
"250360 CAICARA";0;0;0;0;0;0;0;0;0
"250370 CAJAZEIRAS";0;7361;7128;361;0;5;44;4368;19267
"250375 CAJAZEIRINHAS";0;0;0;0;0;0;0;0;0
"250380 CALDAS BRANDAO";0;0;0;0;0;0;0;0;0
"250390 CAMALAU";0;0;0;0;0;0;0;0;0
"250400 CAMPINA GRANDE";0;42923;64715;3449;7;36;471;22890;134491
"250403 CAPIM";0;0;0;0;0;0;0;0;0
"250407 CARAUBAS";0;0;0;0;0;0;0;0;0
"250410 CARRAPATEIRA";0;0;0;0;0;0;0;0;0
"250415 CASSERENGUE";0;0;0;0;0;0;0;0;0
"250420 CATINGUEIRA";0;0;0;0;0;0;0;0;0
"250430 CATOLE DO ROCHA";0;216;910;80;0;2;0;348;1556
"250435 CATURITE";0;0;0;0;0;0;0;0;0
"250440 CONCEICAO";0;0;60;0;0;0;0;27;87
"250450 CONDADO";0;0;0;0;0;0;0;0;0
"250460 CONDE";0;0;0;0;0;0;0;0;0
"250470 CONGO";0;0;0;0;0;0;0;0;0
"250480 COREMAS";0;98;113;16;0;0;0;76;303
"250485 COXIXOLA";0;0;0;0;0;0;0;0;0
"250490 CRUZ DO ESPIRITO SANTO";0;0;0;0;0;0;0;0;0
"250500 CUBATI";0;0;0;0;0;0;0;0;0
"250510 CUITE";0;518;188;21;0;0;0;153;880
"250520 CUITEGI";0;0;0;0;0;0;0;0;0
"250523 CUITE DE MAMANGUAPE";0;0;0;0;0;0;0;0;0
"250527 CURRAL DE CIMA";0;0;0;0;0;0;0;0;0
"250530 CURRAL VELHO";0;0;0;0;0;0;0;0;0
"250535 DAMIAO";0;0;0;0;0;0;0;0;0
"250540 DESTERRO";0;0;0;0;0;0;0;0;0
"250550 VISTA SERRANA";0;0;0;0;0;0;0;0;0
"250560 DIAMANTE";0;0;0;0;0;0;0;0;0
"250570 DONA INES";0;0;0;0;0;0;0;0;0
"250580 DUAS ESTRADAS";0;0;0;0;0;0;0;0;0
"250590 EMAS";0;0;0;0;0;0;0;0;0
"250600 ESPERANCA";0;1138;592;11;0;0;0;119;1860
"250610 FAGUNDES";0;0;0;0;0;0;0;0;0
"250620 FREI MARTINHO";0;0;0;0;0;0;0;0;0
"250625 GADO BRAVO";0;0;0;0;0;0;0;0;0
"250630 GUARABIRA";0;3727;3318;274;0;0;0;2619;9938
"250640 GURINHEM";0;0;0;0;0;0;0;0;0
"250650 GURJAO";0;0;0;0;0;0;0;0;0
"250660 IBIARA";0;0;0;0;0;0;0;0;0
"250670 IMACULADA";0;0;0;0;0;0;0;0;0
"250680 INGA";0;0;0;0;0;0;0;0;0
"250690 ITABAIANA";0;0;103;54;0;0;0;162;319
"250700 ITAPORANGA";0;765;756;94;0;0;0;369;1984
"250710 ITAPOROROCA";0;0;0;14;0;0;0;14;28
"250720 ITATUBA";0;0;0;0;0;0;0;0;0
"250730 JACARAU";0;0;0;0;0;0;0;0;0
"250740 JERICO";0;0;27;0;0;0;0;5;32
"250750 JOAO PESSOA";0;113621;60851;9468;79;719;2325;34378;221441
"250760 JUAREZ TAVORA";0;0;0;0;0;0;0;0;0
"250770 JUAZEIRINHO";0;0;0;0;0;0;0;0;0
"250780 JUNCO DO SERIDO";0;0;0;0;0;0;0;0;0
"250790 JURIPIRANGA";0;0;0;0;0;0;0;0;0
"250800 JURU";0;0;3;0;0;0;0;0;3
"250810 LAGOA";0;0;0;0;0;0;0;0;0
"250820 LAGOA DE DENTRO";0;0;0;0;0;0;0;0;0
"250830 LAGOA SECA";0;43;55;0;0;0;0;30;128
"250840 LASTRO";0;0;0;0;0;0;0;0;0
"250850 LIVRAMENTO";0;0;0;0;0;0;0;0;0
"250855 LOGRADOURO";0;0;0;0;0;0;0;0;0
"250860 LUCENA";0;0;0;0;0;0;0;0;0
"250870 MAE D'AGUA";0;0;0;0;0;0;0;0;0
"250880 MALTA";0;0;0;0;0;0;0;0;0
"250890 MAMANGUAPE";0;8609;44146;349;0;0;15;1951;55070
"250900 MANAIRA";0;0;0;0;0;0;0;0;0
"250905 MARCACAO";0;0;0;0;0;0;0;0;0
"250910 MARI";0;0;0;0;0;0;0;0;0
"250915 MARIZOPOLIS";0;0;0;0;0;0;0;0;0
"250920 MASSARANDUBA";0;0;4;0;0;0;0;0;4
"250930 MATARACA";0;0;0;0;0;0;0;0;0
"250933 MATINHAS";0;0;0;0;0;0;0;0;0
"250937 MATO GROSSO";0;0;0;0;0;0;0;0;0
"250939 MATUREIA";0;0;0;0;0;0;0;0;0
"250940 MOGEIRO";0;0;0;0;0;0;0;0;0
"250950 MONTADAS";0;0;0;0;0;0;0;0;0
"250960 MONTE HOREBE";0;0;0;0;0;0;0;0;0
"250970 MONTEIRO";0;2648;186;187;0;0;0;817;3838
"250980 MULUNGU";0;0;0;0;0;0;0;0;0
"250990 NATUBA";0;0;0;0;0;0;0;0;0
"251000 NAZAREZINHO";0;0;0;0;0;0;0;0;0
"251010 NOVA FLORESTA";0;0;0;0;0;0;0;0;0
"251020 NOVA OLINDA";0;0;0;0;0;0;0;0;0
"251030 NOVA PALMEIRA";0;0;0;0;0;0;0;0;0
"251040 OLHO D'AGUA";0;0;0;0;0;0;0;0;0
"251050 OLIVEDOS";0;0;0;0;0;0;0;0;0
"251060 OURO VELHO";0;0;0;0;0;0;0;0;0
"251065 PARARI";0;0;0;0;0;0;0;0;0
"251070 PASSAGEM";0;0;0;0;0;0;0;0;0
"251080 PATOS";0;3487;3246;609;0;13;0;2836;10191
"251090 PAULISTA";0;0;0;0;0;0;0;0;0
"251100 PEDRA BRANCA";0;0;0;0;0;0;0;0;0
"251110 PEDRA LAVRADA";0;0;9;13;0;0;0;0;22
"251120 PEDRAS DE FOGO";0;1685;732;113;0;0;0;258;2788
"251130 PIANCO";0;1596;2558;192;0;0;0;298;4644
"251140 PICUI";0;45;191;65;0;0;0;838;1139
"251150 PILAR";0;0;0;0;0;0;0;0;0
"251160 PILOES";0;0;0;0;0;0;0;0;0
"251170 PILOEZINHOS";0;0;0;0;0;0;0;0;0
"251180 PIRPIRITUBA";0;0;0;0;0;0;0;0;0
"251190 PITIMBU";0;0;0;0;0;0;0;0;0
"251200 POCINHOS";0;0;7;0;0;0;0;0;7
"251203 POCO DANTAS";0;0;0;0;0;0;0;0;0
"251207 POCO DE JOSE DE MOURA";0;0;0;0;0;0;0;0;0
"251210 POMBAL";0;3149;2384;123;0;0;0;858;6514
"251220 PRATA";0;0;0;0;0;0;0;0;0
"251230 PRINCESA ISABEL";0;35;46;75;0;0;0;121;277
"251240 PUXINANA";0;0;0;0;0;0;0;0;0
"251250 QUEIMADAS";0;982;237;128;0;0;0;490;1837
"251260 QUIXABA";0;0;0;0;0;0;0;0;0
"251270 REMIGIO";0;0;0;0;0;0;0;0;0
"251272 PEDRO REGIS";0;0;0;0;0;0;0;0;0
"251274 RIACHAO";0;0;0;0;0;0;0;0;0
"251275 RIACHAO DO BACAMARTE";0;0;0;0;0;0;0;0;0
"251276 RIACHAO DO POCO";0;0;0;0;0;0;0;0;0
"251278 RIACHO DE SANTO ANTONIO";0;0;0;0;0;0;0;0;0
"251280 RIACHO DOS CAVALOS";0;0;0;0;0;0;0;0;0
"251290 RIO TINTO";0;0;0;0;0;0;0;0;0
"251300 SALGADINHO";0;0;0;0;0;0;0;0;0
"251310 SALGADO DE SAO FELIX";0;0;0;0;0;0;0;0;0
"251315 SANTA CECILIA";0;0;0;0;0;0;0;0;0
"251320 SANTA CRUZ";0;0;0;0;0;0;0;0;0
"251330 SANTA HELENA";0;0;0;0;0;0;0;0;0
"251335 SANTA INES";0;0;0;0;0;0;0;0;0
"251340 SANTA LUZIA";0;37;7;23;0;0;0;30;97
"251350 SANTANA DE MANGUEIRA";0;0;0;0;0;0;0;0;0
"251360 SANTANA DOS GARROTES";0;0;0;0;0;0;0;0;0
"251365 JOCA CLAUDINO";0;0;0;0;0;0;0;0;0
"251370 SANTA RITA";0;6523;11524;2846;0;507;1246;4349;26995
"251380 SANTA TERESINHA";0;0;0;0;0;0;0;0;0
"251385 SANTO ANDRE";0;0;0;0;0;0;0;0;0
"251390 SAO BENTO";0;381;200;28;0;0;0;44;653
"251392 SAO BENTINHO";0;0;0;0;0;0;0;0;0
"251394 SAO DOMINGOS DO CARIRI";0;0;0;0;0;0;0;0;0
"251396 SAO DOMINGOS";0;0;0;0;0;0;0;0;0
"251398 SAO FRANCISCO";0;0;0;0;0;0;0;0;0
"251400 SAO JOAO DO CARIRI";0;0;0;0;0;0;0;0;0
"251410 SAO JOAO DO TIGRE";0;0;0;0;0;0;0;0;0
"251420 SAO JOSE DA LAGOA TAPADA";0;0;0;0;0;0;0;0;0
"251430 SAO JOSE DE CAIANA";0;0;0;0;0;0;0;0;0
"251440 SAO JOSE DE ESPINHARAS";0;0;0;0;0;0;0;0;0
"251445 SAO JOSE DOS RAMOS";0;0;0;0;0;0;0;0;0
"251450 SAO JOSE DE PIRANHAS";0;98;214;0;0;0;0;73;385
"251455 SAO JOSE DE PRINCESA";0;0;0;0;0;0;0;0;0
"251460 SAO JOSE DO BONFIM";0;0;0;0;0;0;0;0;0
"251465 SAO JOSE DO BREJO DO CRUZ";0;0;0;0;0;0;0;0;0
"251470 SAO JOSE DO SABUGI";0;0;0;0;0;0;0;0;0
"251480 SAO JOSE DOS CORDEIROS";0;0;0;0;0;0;0;0;0
"251490 SAO MAMEDE";0;0;0;0;0;0;0;0;0
"251500 SAO MIGUEL DE TAIPU";0;0;0;0;0;0;0;0;0
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";0;0;0;0;0;0;0;0;0
"251520 SAO SEBASTIAO DO UMBUZEIRO";0;0;0;0;0;0;0;0;0
"251530 SAPE";0;549;1009;0;0;0;0;10;1568
"251540 SAO VICENTE DO SERIDO";0;0;10;0;0;0;0;0;10
"251550 SERRA BRANCA";0;404;352;12;0;0;0;115;883
"251560 SERRA DA RAIZ";0;0;0;0;0;0;0;0;0
"251570 SERRA GRANDE";0;0;0;0;0;0;0;0;0
"251580 SERRA REDONDA";0;0;0;0;0;0;0;0;0
"251590 SERRARIA";0;0;0;0;0;0;0;0;0
"251593 SERTAOZINHO";0;0;0;0;0;0;0;0;0
"251597 SOBRADO";0;0;0;0;0;0;0;0;0
"251600 SOLANEA";0;0;0;200;0;0;0;171;371
"251610 SOLEDADE";0;0;31;0;0;0;0;0;31
"251615 SOSSEGO";0;0;0;0;0;0;0;0;0
"251620 SOUSA";0;3461;981;164;0;0;0;930;5536
"251630 SUME";0;313;65;35;0;0;0;178;591
"251640 TACIMA";0;0;0;0;0;0;0;0;0
"251650 TAPEROA";0;756;90;0;0;0;0;225;1071
"251660 TAVARES";0;0;91;0;0;0;0;0;91
"251670 TEIXEIRA";0;0;0;0;0;0;0;0;0
"251675 TENORIO";0;0;0;0;0;0;0;0;0
"251680 TRIUNFO";0;0;0;0;0;0;0;0;0
"251690 UIRAUNA";0;0;233;0;0;0;0;54;287
"251700 UMBUZEIRO";0;0;0;0;0;0;0;0;0
"251710 VARZEA";0;0;0;0;0;0;0;0;0
"251720 VIEIROPOLIS";0;0;0;0;0;0;0;0;0
"251740 ZABELE";0;0;0;0;0;0;0;0;0
" MUNICIPIO IGNORADO - PE";0;0;0;0;0;0;0;0;0
"260005 ABREU E LIMA";0;0;0;0;0;0;0;0;0
"260010 AFOGADOS DA INGAZEIRA";0;4181;4219;365;0;0;0;1724;10489
"260020 AFRANIO";0;471;197;20;0;0;0;187;875
"260030 AGRESTINA";0;893;4132;249;0;0;3;691;5968
"260040 AGUA PRETA";0;81;264;0;0;0;0;47;392
"260050 AGUAS BELAS";0;147;341;0;0;0;0;106;594
"260060 ALAGOINHA";0;23;113;10;0;0;0;34;180
"260070 ALIANCA";0;0;4;4;0;0;0;0;8
"260080 ALTINHO";0;0;68;0;0;0;0;0;68
"260090 AMARAJI";0;1;43;9;0;0;0;0;53
"260100 ANGELIM";0;0;0;0;0;0;0;0;0
"260105 ARACOIABA";0;0;0;0;0;0;0;0;0
"260110 ARARIPINA";0;7531;1059;230;0;10;0;1022;9852
"260120 ARCOVERDE";0;16169;9462;827;0;15;445;2117;29035
"260130 BARRA DE GUABIRABA";0;0;6;0;0;0;0;0;6
"260140 BARREIROS";0;375;576;128;0;0;0;161;1240
"260150 BELEM DE MARIA";0;7;2;0;0;0;0;6;15
"260160 BELEM DE SAO FRANCISCO";0;0;7;0;0;0;0;0;7
"260170 BELO JARDIM";0;359;52;11;0;0;0;108;530
"260180 BETANIA";0;0;7;0;0;0;0;0;7
"260190 BEZERROS";0;2161;683;839;0;0;342;1262;5287
"260200 BODOCO";0;428;40;0;0;0;0;231;699
"260210 BOM CONSELHO";0;0;0;0;0;0;0;0;0
"260220 BOM JARDIM";0;0;9;0;0;0;0;17;26
"260230 BONITO";0;186;287;38;0;0;0;125;636
"260240 BREJAO";0;0;15;0;0;0;0;0;15
"260250 BREJINHO";0;11;7;0;0;0;0;24;42
"260260 BREJO DA MADRE DE DEUS";0;64;208;0;0;0;0;7;279
"260270 BUENOS AIRES";0;0;0;0;0;0;0;0;0
"260280 BUIQUE";0;168;392;0;0;0;0;108;668
"260290 CABO DE SANTO AGOSTINHO";0;13608;7720;602;0;6;666;2812;25414
"260300 CABROBO";0;34;35;48;0;0;0;10;127
"260310 CACHOEIRINHA";0;48;135;0;0;0;0;75;258
"260320 CAETES";0;56;24;2;0;0;0;81;163
"260330 CALCADO";0;0;6;0;0;0;0;15;21
"260340 CALUMBI";0;0;2;0;0;0;0;8;10
"260345 CAMARAGIBE";0;32;19;89;0;0;0;91;231
"260350 CAMOCIM DE SAO FELIX";0;0;0;0;0;0;0;0;0
"260360 CAMUTANGA";0;0;0;0;0;0;0;0;0
"260370 CANHOTINHO";0;12;44;16;0;0;0;25;97
"260380 CAPOEIRAS";0;6;28;0;0;0;0;87;121
"260390 CARNAIBA";0;415;15;33;0;0;0;116;579
"260392 CARNAUBEIRA DA PENHA";0;5;8;0;0;0;0;30;43
"260400 CARPINA";0;0;332;38;0;0;0;6;376
"260410 CARUARU";0;73326;54886;2626;0;81;838;11381;143138
"260415 CASINHAS";0;0;9;0;0;0;0;42;51
"260420 CATENDE";0;21;17;0;0;0;0;42;80
"260430 CEDRO";0;21;7;0;0;0;0;18;46
"260440 CHA DE ALEGRIA";0;0;0;0;0;0;0;0;0
"260450 CHA GRANDE";0;1186;281;19;0;0;0;0;1486
"260460 CONDADO";0;0;0;0;0;0;0;0;0
"260470 CORRENTES";0;0;0;0;0;0;0;0;0
"260480 CORTES";0;27;317;35;0;0;0;0;379
"260490 CUMARU";0;0;19;0;0;0;0;102;121
"260500 CUPIRA";0;40;10;0;0;0;0;0;50
"260510 CUSTODIA";0;259;80;16;0;0;0;288;643
"260515 DORMENTES";0;39;18;10;0;0;0;59;126
"260520 ESCADA";0;170;290;0;0;0;0;146;606
"260530 EXU";0;3;26;0;0;0;0;0;29
"260540 FEIRA NOVA";0;0;4;0;0;0;0;0;4
"260545 FERNANDO DE NORONHA";0;12;9;0;0;0;0;13;34
"260550 FERREIROS";0;0;0;0;0;0;0;0;0
"260560 FLORES";0;28;11;0;0;0;0;35;74
"260570 FLORESTA";0;134;78;16;0;0;0;145;373
"260580 FREI MIGUELINHO";0;0;1;0;0;0;0;0;1
"260590 GAMELEIRA";0;40;4;0;0;0;0;16;60
"260600 GARANHUNS";0;13409;6394;478;0;15;87;4503;24886
"260610 GLORIA DO GOITA";0;0;3;0;0;0;0;0;3
"260620 GOIANA";0;1386;1234;164;0;2;0;724;3510
"260630 GRANITO";0;0;14;0;0;0;0;0;14
"260640 GRAVATA";0;163;1299;1;0;0;0;481;1944
"260650 IATI";0;78;83;24;0;0;0;43;228
"260660 IBIMIRIM";0;0;249;0;0;0;0;35;284
"260670 IBIRAJUBA";0;0;6;0;0;0;0;0;6
"260680 IGARASSU";0;0;82;0;0;0;0;0;82
"260690 IGUARACY";0;5;2;0;0;0;0;7;14
"260700 INAJA";0;0;29;0;0;0;0;0;29
"260710 INGAZEIRA";0;2;3;0;0;0;0;8;13
"260720 IPOJUCA";0;696;153;40;0;0;0;0;889
"260730 IPUBI";0;0;0;0;0;0;0;0;0
"260740 ITACURUBA";0;0;3;0;0;0;0;4;7
"260750 ITAIBA";0;1;37;0;0;0;0;0;38
"260760 ILHA DE ITAMARACA";0;0;0;0;0;0;0;0;0
"260765 ITAMBE";0;0;0;0;0;0;0;0;0
"260770 ITAPETIM";0;235;10;29;0;0;0;103;377
"260775 ITAPISSUMA";0;0;0;0;0;0;0;0;0
"260780 ITAQUITINGA";0;0;0;0;0;0;0;0;0
"260790 JABOATAO DOS GUARARAPES";0;28835;38291;4994;0;57;280;12602;85059
"260795 JAQUEIRA";0;0;8;0;0;0;0;0;8
"260800 JATAUBA";0;157;221;11;0;0;0;46;435
"260805 JATOBA";0;0;0;0;0;0;0;0;0
"260810 JOAO ALFREDO";0;0;29;0;0;0;0;32;61
"260820 JOAQUIM NABUCO";0;0;0;0;0;0;0;0;0
"260825 JUCATI";0;0;303;0;0;0;0;102;405
"260830 JUPI";0;3;18;0;0;0;0;0;21
"260840 JUREMA";0;0;0;0;0;0;0;0;0
"260845 LAGOA DO CARRO";0;0;1;0;0;0;0;0;1
"260850 LAGOA DE ITAENGA";0;0;10;9;0;0;0;0;19
"260860 LAGOA DO OURO";0;1;10;10;0;0;0;0;21
